종명,접수일시,도로유형,도로명
고라니,2022-05-17,고속국도(재정),서해안고속도로
고라니,2022-05-17,고속국도(재정),경부고속도로
고라니,2022-05-17,고속국도(재정),서울외곽순환고속도로
고양이,2022-05-17,고속국도(재정),제2경인고속도로
꿩,2022-05-17,고속국도(재정),제2경인고속도로
고라니,2022-05-18,고속국도(재정),중앙고속도로
고라니,2022-05-18,고속국도(재정),당진영덕고속도로
고라니,2022-05-18,고속국도(재정),익산포항고속도로
고라니,2022-05-18,고속국도(재정),중부고속국도
개,2022-05-18,고속국도(재정),영동고속도로
고라니,2022-05-18,고속국도(재정),중부내륙고속도로
고라니,2022-05-19,고속국도(재정),서천공주고속도로
고라니,2022-05-19,고속국도(재정),중부고속도로
오소리,2022-05-19,고속국도(재정),중앙고속도로
고라니,2022-05-19,고속국도(재정),호남고속도로
개,2022-05-19,고속국도(재정),중앙고속도로
고라니,2022-05-20,고속국도(재정),순천완주고속도로
고라니,2022-05-20,고속국도(재정),서천공주고속도로
고라니,2022-05-20,고속국도(재정),경부고속도로
고라니,2022-05-20,고속국도(재정),제2중부고속도로
오소리,2022-05-20,고속국도(재정),중부고속도로
고라니,2022-05-20,고속국도(재정),당진영덕고속도로
고라니,2022-05-20,고속국도(재정),무안-광주고속국도
고라니,2022-05-20,고속국도(재정),
미동정(포유류),2022-05-21,고속국도(재정),50
고라니,2022-05-21,고속국도(재정),55
고라니,2022-05-21,고속국도(재정),50
고양이,2022-05-21,고속국도(재정),55
고라니,2022-05-21,고속국도(재정),12
고라니,2022-05-21,고속국도(재정),15
고라니,2022-05-22,고속국도(재정),251
고라니,2022-05-22,고속국도(재정),25
고라니,2022-05-22,고속국도(재정),35
고라니,2022-05-22,고속국도(재정),55
고라니,2022-05-22,고속국도(재정),12
수달,2022-05-22,고속국도(재정),15
고라니,2022-05-22,고속국도(재정),15
고라니,2022-05-22,고속국도(재정),1
고라니,2022-05-22,고속국도(재정),27
고라니,2022-05-23,고속국도(재정),10
고라니,2022-05-23,고속국도(재정),55
고라니,2022-05-23,고속국도(재정),151
고라니,2022-05-23,고속국도(재정),1
멧토끼,2022-05-23,고속국도(재정),45
고라니,2022-05-23,고속국도(재정),65
고라니,2022-05-24,고속국도(재정),55
고라니,2022-05-24,고속국도(재정),35
고라니,2022-05-24,고속국도(재정),12
비둘기,2022-05-25,고속국도(재정),1
고라니,2022-05-25,고속국도(재정),65
고라니,2022-05-25,고속국도(재정),50
고라니,2022-05-25,고속국도(재정),251
고라니,2022-05-25,고속국도(재정),55
고라니,2022-05-25,고속국도(재정),151
고라니,2022-05-25,고속국도(재정),15
고라니,2022-05-26,고속국도(재정),30
고라니,2022-05-26,고속국도(재정),1
고라니,2022-05-26,고속국도(재정),35
고라니,2022-05-26,고속국도(재정),45
고라니,2022-05-27,고속국도(재정),35
고라니,2022-05-27,고속국도(재정),30
오소리,2022-05-27,고속국도(재정),65
고라니,2022-05-27,고속국도(재정),12
고라니,2022-05-27,고속국도(재정),151
고양이,2022-05-28,고속국도(재정),50
고라니,2022-05-28,고속국도(재정),15
고라니,2022-05-28,고속국도(재정),55
오소리,2022-05-28,고속국도(재정),15
오소리,2022-05-28,고속국도(재정),12
노루,2022-05-28,고속국도(재정),50
너구리,2022-05-28,고속국도(재정),65
고라니,2022-05-28,고속국도(재정),1
고라니,2022-05-28,고속국도(재정),300
